Date,Close,High,Low,Open,Volume
1/3/00,3790.550049,3836.860107,3643.25,3755.73999,1510070000
1/4/00,3546.199951,3766.570068,3542.73,3766.570068,1511840000
1/5/00,3507.31,3576.17,3371.75,3543.13,1735670000
1/6/00,3340.81,3513.550049,3334.02,3488.31,1598320000
1/7/00,3529.60,3529.75,3314.75,3337.26001,1634930000
1/10/00,3717.409912,3756.17,3558.21,3558.21,1691710000
1/11/00,3544.35,3717.17,3517.79,3715.219971,1694460000
1/12/00,3478.139893,3572.62,3447.90,3548.77,1525900000
1/13/00,3612.08,3612.429932,3494.389893,3495.83,1476970000
1/14/00,3704.73999,3744.889893,3653.300049,3653.300049,1656630000
1/18/00,3757.780029,3779.56,3665.87,3704.73999,1585230000
1/19/00,3790.889893,3803.719971,3711.96,3741.449951,1652210000
1/20/00,3841.73999,3877.429932,3782.429932,3798.840088,1851300000
1/21/00,3849.96,3891.81,3806.58,3841.73999,1923680000
1/24/00,3660.96,3905.10,3660.860107,3888.33,1989050000
1/25/00,3759.110107,3759.33,3591.340088,3667.02,1743630000
1/26/00,3621.21,3762.69,3621.10,3762.69,1717000000
1/27/00,3593.15,3701.300049,3512.070068,3628.88,1798460000
1/28/00,3446.13,3618.08,3408.030029,3595.889893,1616370000
1/31/00,3570.050049,3570.590088,3349.06,3438.090088,1507630000
2/1/00,3701.780029,3703.590088,3544.929932,3580.29,1398240000
2/2/00,3724.46,3785.360107,3693.949951,3700.199951,1527880000
2/3/00,3851.159912,3857.340088,3704.23,3726.13,1722330000
2/4/00,3874.37,3929.81,3856.83,3858.60,1751450000
2/7/00,3933.340088,3933.75,3858.889893,3873.429932,1625540000
2/8/00,4062.77,4063.79,3932.23999,3932.23999,1971180000
2/9/00,3968.46,4087.840088,3966.33,4061.73999,1775590000
2/10/00,4090.00,4090.070068,3956.90,3974.83,1813590000
2/11/00,3968.889893,4090.26001,3933.780029,4090.26001,1738590000
2/14/00,3986.13,4005.590088,3918.87,3969.949951,1600850000
2/15/00,3997.030029,4024.13,3848.37,3983.85,1708930000
2/16/00,3997.969971,4063.58,3982.550049,3997.030029,1782130000
2/17/00,4125.38,4127.35,3993.570068,4012.29,2008440000
2/18/00,3965.75,4135.60,3959.83,4130.55,1898410000
2/22/00,3969.13,4001.070068,3856.02,3970.530029,1772290000
2/23/00,4170.09,4198.16,3966.00,3966.00,1892800000
2/24/00,4253.05,4253.75,4099.39,4169.66,1944050000
2/25/00,4178.58,4297.46,4169.34,4254.56,1825500000
2/28/00,4162.13,4224.95,4024.08,4178.58,1798070000
2/29/00,4266.94,4269.76,4174.75,4174.75,2088840000
3/1/00,4309.01,4346.41,4269.66,4275.72,2232340000
3/2/00,4234.26,4337.65,4197.98,4311.97,2137080000
3/3/00,4442.87,4442.87,4257.53,4257.53,2136530000
3/6/00,4457.18,4528.69,4436.60,4448.48,2015580000
3/7/00,4390.83,4560.96,4355.61,4489.49,2156410000
3/8/00,4445.68,4470.28,4266.87,4409.98,2020130000
3/9/00,4586.26,4587.55,4379.60,4446.48,2006810000
3/10/00,4587.16,4659.72,4549.07,4586.26,1992170000
3/13/00,4426.80,4585.16,4387.74,4585.16,1736270000
3/14/00,4226.99,4537.99,4226.79,4448.63,1977820000
3/15/00,4130.01,4341.54,4094.04,4250.74,1937800000
3/16/00,4353.33,4353.59,4049.98,4141.23,2041510000
3/17/00,4440.45,4441.00,4326.76,4349.26,1691530000
3/20/00,4261.15,4460.37,4260.92,4443.35,1539860000
3/21/00,4449.33,4450.41,4155.34,4259.58,1753310000
3/22/00,4596.81,4639.12,4449.22,4449.22,1769510000
3/23/00,4660.62,4704.21,4547.00,4594.37,1714160000
3/24/00,4691.61,4816.35,4608.92,4659.76,1688970000
3/27/00,4704.73,4781.19,4687.60,4687.60,1380380000
3/28/00,4583.39,4714.35,4582.45,4705.75,1490090000
3/29/00,4413.92,4615.09,4408.60,4583.81,1738270000
3/30/00,4250.19,4491.08,4151.12,4376.41,1925860000
3/31/00,4397.84,4424.43,4171.09,4268.64,2118100000
4/3/00,4077.02,4355.70,4041.23999,4355.70,1739920000
4/4/00,4034.17,4146.50,3525.44,4089.780029,2889100000
4/5/00,4030.26001,4156.43,3884.320068,4028.40,1947700000
4/6/00,4086.73,4161.42,4005.31,4036.389893,1746450000
4/7/00,4291.53,4292.88,4111.18,4111.18,1563430000
4/10/00,3998.26001,4308.62,3998.10,4293.63,1446140000
4/11/00,3909.21,4049.550049,3829.389893,3987.23999,1679390000
4/12/00,3633.63,3943.679932,3632.409912,3909.00,1921090000
4/13/00,3553.81,3831.699951,3552.51001,3645.79,1951500000
4/14/00,3207.96,3536.409912,3138.42,3536.409912,2555780000
4/17/00,3529.449951,3530.67,3107.42,3194.50,2482830000
4/18/00,3715.81,3717.659912,3511.81,3531.070068,2152720000
4/19/00,3583.070068,3753.449951,3578.90,3720.23999,1760270000
4/20/00,3505.29,3632.23999,3453.300049,3587.27,1422730000
4/24/00,3353.530029,3448.23,3200.90,3448.23,1540710000
4/25/00,3621.56,3622.29,3371.21,3371.21,1622910000
4/26/00,3505.71,3690.29,3505.110107,3622.800049,1592830000
4/27/00,3692.570068,3692.92,3390.60,3504.199951,1548760000
4/28/00,3773.179932,3790.780029,3696.42,3696.42,1583710000
5/1/00,3829.840088,3871.929932,3777.050049,3789.199951,1500610000
5/2/00,3627.31,3824.469971,3626.54,3768.04,1438040000
5/3/00,3562.159912,3627.31,3435.300049,3627.31,1480050000
5/4/00,3570.73,3627.35,3518.12,3561.719971,1287850000
5/5/00,3688.360107,3692.40,3534.070068,3571.27,1197290000
5/8/00,3521.60,3688.360107,3521.050049,3688.360107,1142710000
5/9/00,3445.26001,3567.96,3401.820068,3525.23,1454780000
5/10/00,3244.73,3436.679932,3234.96,3436.679932,1580110000
5/11/00,3381.570068,3381.699951,3237.860107,3311.51001,1370230000
5/12/00,3406.25,3504.81,3381.570068,3381.570068,1220040000
5/15/00,3512.110107,3512.21,3314.44,3404.56,1155810000
5/16/00,3646.889893,3653.76001,3520.98,3520.98,1495270000
5/17/00,3550.50,3635.030029,3527.67,3635.030029,1227380000
5/18/00,3426.35,3575.780029,3426.35,3547.52,1258610000
5/19/00,3260.639893,3425.38,3259.179932,3425.38,1366930000
5/22/00,3264.71,3269.54,3029.139893,3261.469971,1615480000
5/23/00,3023.42,3298.46,3022.52,3262.77,1330440000
5/24/00,3180.31,3185.73999,2897.27,3023.48999,2087980000
5/25/00,3099.280029,3290.530029,3078.179932,3181.50,1561840000
5/26/00,3101.44,3170.719971,3033.50,3100.969971,1069440000
5/30/00,3414.030029,3415.71,3101.429932,3101.429932,1457360000
5/31/00,3324.08,3458.340088,3322.219971,3414.030029,1533730000
6/1/00,3518.98,3526.530029,3331.800049,3331.800049,1580240000
6/2/00,3755.67,3759.81,3518.98,3518.98,1903210000
6/5/00,3730.31,3817.25,3688.889893,3742.280029,1455960000
6/6/00,3646.320068,3801.31,3637.800049,3730.31,1603060000
6/7/00,3736.01001,3736.15,3599.530029,3644.46,1431220000
6/8/00,3707.31,3791.42,3671.44,3737.929932,1399250000
6/9/00,3760.26001,3785.02,3707.31,3707.31,1268720000
6/12/00,3638.42,3779.73999,3638.31,3761.15,1281000000
6/13/00,3765.81,3766.52,3582.52,3638.54,1398790000
6/14/00,3677.48999,3793.719971,3670.71,3767.54,1400300000
6/15/00,3752.01001,3755.719971,3639.179932,3680.67,1426630000
6/16/00,3787.360107,3817.85,3732.83,3758.360107,1501190000
6/19/00,3933.699951,3935.33,3730.77,3787.360107,1411400000
6/20/00,3933.83,3990.21,3898.280029,3933.699951,1694520000
6/21/00,3970.00,3981.26001,3867.92,3928.98,1541900000
6/22/00,3804.110107,3968.85,3804.00,3968.85,1639540000
6/23/00,3685.300049,3821.949951,3669.40,3809.40,1344960000
6/26/00,3771.449951,3840.54,3685.300049,3685.300049,1316960000
6/27/00,3699.00,3804.94,3698.50,3771.449951,1476020000
6/28/00,3771.06,3817.50,3701.110107,3701.110107,1660130000
6/29/00,3665.83,3764.83,3634.030029,3764.83,1550990000
6/30/00,3763.79,3764.96,3666.179932,3666.179932,2066390000
7/3/00,3804.780029,3811.590088,3744.63,3763.79,600810000
7/5/00,3649.800049,3804.96,3646.46,3804.96,1342600000
7/6/00,3793.48,3793.90,3610.27,3648.13,1482480000
7/7/00,3841.27,3884.840088,3781.56,3793.01001,1486480000
7/10/00,3772.199951,3841.51001,3767.56,3841.51001,1395950000
7/11/00,3744.530029,3835.02,3720.02,3772.610107,1714500000
7/12/00,3901.12,3909.409912,3792.98,3810.360107,1775980000
7/13/00,3956.67,3991.87,3900.23,3901.12,1881560000
7/14/00,4041.15,4051.90,3962.679932,3962.820068,1678610000
7/17/00,4061.88,4089.04,4007.62,4041.15,1584500000
7/18/00,3960.96,4060.31,3949.85,4060.31,1501970000
7/19/00,3843.98,3960.96,3835.12,3960.96,1445310000
7/20/00,3995.46,3999.06,3843.98,3843.98,1719880000
7/21/00,3908.75,3992.83,3892.25,3992.83,1545940000
7/24/00,3790.62,3966.83,3787.29,3908.75,1460690000
7/25/00,3865.389893,3871.639893,3762.00,3790.62,1471000000
7/26/00,3818.31,3865.33,3741.840088,3865.33,1754760000
7/27/00,3681.63,3816.48999,3680.780029,3816.48999,1791100000
7/28/00,3477.31,3716.949951,3452.949951,3689.69,1769410000
7/31/00,3609.35,3610.949951,3437.590088,3477.530029,1512580000
8/1/00,3521.15,3609.35,3518.610107,3609.35,1341460000
8/2/00,3490.340088,3617.25,3486.46,3521.15,1476820000
8/3/00,3623.50,3625.639893,3341.83,3490.340088,1828860000
8/4/00,3618.63,3715.570068,3577.13,3624.17,1438850000
8/7/00,3710.389893,3726.90,3618.63,3618.63,1319680000
8/8/00,3686.37,3741.51001,3671.75,3708.949951,1461590000
8/9/00,3693.04,3780.429932,3691.699951,3708.63,1517650000
8/10/00,3595.19,3690.610107,3594.800049,3687.69,1349670000
8/11/00,3644.610107,3645.77,3521.530029,3595.15,1333260000
8/14/00,3719.610107,3720.81,3616.71,3644.63,1232060000
8/15/00,3722.62,3761.56,3691.27,3718.699951,1353620000
8/16/00,3721.25,3791.219971,3704.51001,3722.62,1401380000
8/17/00,3830.590088,3839.76001,3716.67,3721.25,1440370000
8/18/00,3807.51001,3868.73999,3799.969971,3830.590088,1447920000
8/21/00,3827.62,3878.67,3785.199951,3809.860107,1269330000
8/22/00,3827.889893,3898.12,3827.300049,3832.10,1413190000
8/23/00,3896.92,3899.96,3760.12,3818.06,1461790000
8/24/00,3949.570068,3954.60,3884.570068,3897.050049,1546950000
8/25/00,3931.25,3986.73,3915.79,3945.50,1285820000
